0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3.22265, 1, 0, -0.0147607, -0.00308886, 0.0148489, 0.00461051, -0.0127844, -0.00547594, 0.00924441, 0.00802947, -0.00719166, -0.0122639, 0.00776887, 0.0149534, -0.00804241, -0.0137056, 0.00444814, 0.0107211, 0.00209263, -0.0105985, -0.00650868, 0.0143152, 0.00575501, -0.0172886, -0.00309754, 0.0147705, 0.00445763, -0.00812998, -0.0108817, 0.00371572, 0.016731, -0.00514281, -0.0163695, 0.0085789, 0.0112206, -0.00728144, -0.00819691, 4.19622e-16, -0.000569734, 0.013364
3.51562, 1, 0, -0.00343161, 0.0123194, -0.011195, -0.00365622, 0.00586307, -0.0118611, 0.00991442, 0.00917708, -0.00994772, 0.00696504, -0.00624998, -0.0101379, 0.012754, -0.00503359, 0.000821957, 0.0136424, -0.0116861, -0.000763688, 0.00107699, -0.0131205, 0.0136009, 0.00550098, -0.00735505, 0.0101056, -0.00997824, -0.00690352, 0.0102682, -0.00977723, 0.00582871, 0.0119752, -0.010985, 0.00399062, -0.00327964, -0.0122421, 0.0136281, 3.73575e-16, 0.00762781, 0.0101213
3.80859, 1, 0, -0.154523, -0.0261376, 0.145601, 0.054265, -0.135082, -0.0805274, 0.120462, 0.100976, -0.0987109, -0.117841, 0.0732797, 0.134808, -0.0499803, -0.149025, 0.0278552, 0.154253, -0.000912411, -0.151061, -0.0307716, 0.146904, 0.0587297, -0.144424, -0.0778089, 0.13648, 0.0939273, -0.117108, -0.114611, 0.0919565, 0.136171, -0.0710754, -0.147927, 0.0542589, 0.147866, -0.0317633, -0.145651, 5.99976e-16, 0.0623168, 0.137804
4.10155, 1, 0, -0.815409, 0.474425, 0.409634, -0.724391, 0.0123887, 0.702825, -0.302575, -0.489706, 0.408912, 0.211659, -0.360697, 0.0239095, 0.228382, -0.161108, -0.0838165, 0.196174, -0.0246025, -0.159164, 0.0789411, 0.0909732, -0.0855917, -0.0256697, 0.0633828, -0.0178717, -0.0322872, 0.0359196, 0.00627759, -0.0347941, 0.00893749, 0.0244167, -0.0144401, -0.0131449, 0.0147428, 0.00509729, -0.0142534, -1.40062e-15, 0.0118068, 0.0101947
4.39452, 1, 0, -0.816332, 0.45106, 0.426999, -0.678553, -0.0376894, 0.650122, -0.217949, -0.456621, 0.307344, 0.220712, -0.271108, -0.0329071, 0.176636, -0.0706106, -0.0812534, 0.0982877, 0.0157168, -0.0802202, 0.0145769, 0.047256, -0.0193372, -0.0195106, 0.0123295, 0.00438615, -0.00419752, -0.000332702, 4.72444e-05, 0.00210641, -0.000355741, -0.00475196, 0.00315935, 0.00543072, -0.00601934, -0.00353698, 0.0071787, -1.33213e-15, 0.00577358, 0.00392535
4.68749, 1, 0, -0.0304999, -0.0039128, 0.0283258, 0.00885858, -0.0258699, -0.0154231, 0.0242977, 0.0214475, -0.0216238, -0.0244042, 0.0158077, 0.0258692, -0.00903117, -0.028223, 0.00391158, 0.0305001, 4.69152e-07, -0.0312714, -0.00391312, 0.0305008, 0.00891155, -0.0282934, -0.0155495, 0.0258666, 0.0215117, -0.0243342, -0.0243698, 0.0215706, 0.0258663, -0.0156779, -0.0282591, 0.00896902, 0.0305009, -0.00391269, -0.0312698, 4.0654e-16, 0.029795, 0.00760753
4.98046, 1, 0, -0.802733, 0.471787, 0.386939, -0.694675, 0.0147519, 0.637522, -0.255791, -0.412462, 0.31173, 0.163309, -0.24251, 0.012726, 0.131607, -0.0882279, -0.0406774, 0.0872548, -0.00633568, -0.0522613, 0.01553, 0.0178143, -0.00586516, 0.000168228, -0.00550319, -0.00195166, 0.00997303, -0.00444488, -0.00702789, 0.0109918, 0.000258392, -0.0134588, 0.00649257, 0.0114164, -0.0109902, -0.0063648, 0.0125177, -1.2887e-15, 0.0109166, 0.00649024
5.27343, 1, 0, -0.000812688, -0.000292455, 0.000575622, 0.000682341, -0.00040427, -0.0010101, 0.000220911, 0.0010644, 0.000153383, -0.000911737, -0.000642779, 0.000796535, 0.000953652, -0.000756817, -0.000969026, 0.000575472, 0.00087934, -0.000149851, -0.000850124, -0.000314413, 0.000769594, 0.000590645, -0.000472257, -0.000726476, 4.96521e-05, 0.000879436, 0.000271461, -0.000992058, -0.000474596, 0.000863833, 0.000738458, -0.000504615, -0.00107886, 0.000170787, 0.00124754, 3.91515e-16, -0.0010779, -0.000176792
5.5664, 1, 0, -0.000542692, 0.000652662, -0.000154461, -0.000837152, 0.00074422, 0.000421137, -0.000804868, 0.000298632, 0.000292604, -0.00080841, 0.000427231, 0.000744364, -0.00084108, -0.000152403, 0.000653939, -0.000544612, -3.23518e-08, 0.000848878, -0.000653063, -0.000543174, 0.000838367, -0.000154004, -0.000423024, 0.00074449, -0.000296803, -0.000806246, 0.00080744, 0.00029478, -0.000744549, 0.00042507, 0.000153332, -0.000839685, 0.000543761, 0.000653482, -0.000848745, 3.80791e-16, -0.000566088, 0.000634239
5.85936, 1, 0, 0.00422869, 0.0201917, -0.0187857, 0.00763984, -0.0128911, -0.0176579, 0.0185588, -0.015262, 0.0148317, 0.0156031, -0.0107238, 0.0167553, -0.0184765, -0.0067815, 0.00215282, -0.020205, 0.021716, -0.000690286, 0.00416393, 0.0204444, -0.0207495, 0.0089924, -0.0101307, -0.0208676, 0.016783, -0.0113346, 0.0146234, 0.0127484, -0.0087929, 0.0173985, -0.0210148, -0.00541429, 0.00403415, -0.0221767, 0.0211011, 3.54517e-16, -0.00311872, 0.0223239
