0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
12.8906, 0, 2.60566, -1.08208, 1.49523, -2.24058, 0.263441, 2.73368, -1.05752, 1.52586, -2.07783, 0.645793, -2.91758, -0.221771, 2.44833, -1.18481, 1.45442, -2.18772, 0.468369, -3.14159, -0.468369
13.1836, 0, 2.61626, -1.05822, 1.54114, -2.15403, 0.416405, 2.96886, -0.76757, 1.81079, -1.81365, 0.918797, -2.62573, 0.0761281, 2.73962, -0.909136, 1.70253, -1.98953, 0.582497, -3.14159, -0.582497
13.4765, 0, 2.61701, -1.05011, 1.56639, -2.09726, 0.528734, -3.1133, -0.441219, 2.2759, -1.27037, 1.41362, -2.26195, 0.306413, 2.86681, -0.852974, 1.71462, -1.99856, 0.571789, -3.14159, -0.571789
13.7695, 0, 2.61137, -1.06791, 1.52467, -2.1842, 0.356909, 2.8454, -1.02072, 1.35701, -2.45506, 0.229518, 3.10734, -0.269959, 2.54734, -1.00469, 1.66571, -1.99464, 0.587111, -3.14159, -0.587111
14.0625, 0, 2.62442, -1.03238, 1.59552, -2.05998, 0.562981, -3.12098, -0.59296, 1.87007, -1.84691, 0.812857, -2.79522, -0.125578, 2.53812, -1.08522, 1.57069, -2.06612, 0.555393, -3.14159, -0.555393
14.3554, 0, 2.63613, -1.01112, 1.62964, -1.99978, 0.679311, -2.86605, 0.00246781, 3.0066, -0.453445, 2.04033, -1.87843, 0.531738, 3.01363, -0.741939, 1.8076, -1.92272, 0.617748, -3.14159, -0.617748
14.6484, 0, 2.63114, -1.02619, 1.59271, -2.08355, 0.496689, 3.02199, -0.84852, 1.41839, -2.50292, 0.196025, 3.1208, -0.248316, 2.56659, -0.979773, 1.70072, -1.95466, 0.616025, -3.14159, -0.616025
14.9414, 0, 2.62921, -1.02632, 1.59944, -2.06289, 0.544741, 3.12104, -0.652416, 1.79236, -1.94759, 0.745091, -2.81238, -0.105432, 2.5805, -1.0327, 1.62229, -2.02709, 0.573705, -3.14159, -0.573705
15.2343, 0, 2.61853, -1.05153, 1.5564, -2.12201, 0.480755, 3.09034, -0.565028, 2.08173, -1.54869, 1.09657, -2.55453, 0.0649696, 2.67475, -1.00487, 1.59663, -2.08255, 0.527097, -3.14159, -0.527097
15.5273, 0, 2.63214, -1.02274, 1.60477, -2.04801, 0.585439, -3.05046, -0.360358, 2.40991, -1.09522, 1.53774, -2.19113, 0.365414, 2.93747, -0.765292, 1.81334, -1.90566, 0.631121, -3.14159, -0.631121
15.8203, 0, 2.58488, -1.1249, 1.42611, -2.34408, 0.115221, 2.53044, -1.32027, 1.2182, -2.39261, 0.367117, -3.14143, -0.399397, 2.29953, -1.31906, 1.32737, -2.30286, 0.391393, -3.14159, -0.391393
16.1132, 0, 2.62564, -1.03603, 1.58119, -2.09018, 0.510572, 3.09588, -0.61767, 1.9532, -1.71351, 0.961208, -2.63228, 0.0422528, 2.69776, -0.946535, 1.67598, -2.00394, 0.577249, -3.14159, -0.577249
16.4062, 0, 2.61025, -1.07114, 1.51831, -2.1942, 0.347527, 2.86623, -0.878392, 1.74707, -1.82595, 0.897874, -2.69072, -0.028549, 2.60939, -1.05211, 1.5607, -2.1101, 0.510581, -3.14159, -0.510581
16.6992, 0, 2.62189, -1.04382, 1.56979, -2.10467, 0.493275, 3.0743, -0.661535, 1.79337, -2.40958, -1.10789, 0.984165, -2.95371, -2.60475, -0.669934, 1.82053, -1.93315, 0.60372, -3.14159, -0.60372
16.9922, 0, 2.63509, -1.01346, 1.62161, -2.02518, 0.610365, -3.04209, -0.42207, 2.18112, -1.50776, 1.09496, -2.57195, 0.0532678, 2.68188, -0.9741, 1.6467, -2.02799, 0.563651, -3.14159, -0.563651
17.2851, 0, 2.60452, -1.07902, 1.51464, -2.1816, 0.397382, 2.97804, -0.696292, 1.97133, -1.60778, 1.07527, -2.56254, 0.0565098, 2.66111, -1.0243, 1.57288, -2.1065, 0.510941, -3.14159, -0.510941
17.5781, 0, 2.60849, -1.07354, 1.51722, -2.19142, 0.355735, 2.86728, -0.934694, 1.56791, -2.10032, 0.646733, -2.84576, -0.0904961, 2.61566, -0.999316, 1.64038, -2.02773, 0.564679, -3.14159, -0.564679
17.8711, 0, 2.61491, -1.0595, 1.54094, -2.15557, 0.403716, 2.9136, -0.956215, 1.30076, -2.77634, -0.326048, 2.55842, -0.461862, 2.56526, -0.946363, 1.71496, -1.9652, 0.599131, -3.14159, -0.599131
18.164, 0, 2.63679, -1.0119, 1.62227, -2.02578, 0.607022, -3.04927, -0.43273, 2.16922, -1.51002, 1.11142, -2.53955, 0.0955759, 2.73, -0.922378, 1.70001, -1.9784, 0.5964, -3.14159, -0.5964
18.457, 0, 2.61084, -1.0656, 1.53727, -2.14725, 0.445834, 3.03782, -0.640269, 2.009, -1.55733, 1.17453, -2.428, 0.204531, 2.81195, -0.876366, 1.71024, -1.99414, 0.576608, -3.14159, -0.576608
18.75, 0, 2.63953, -1.00281, 1.64658, -1.96747, 0.737544, -2.7658, 0.160427, -3.07134, -0.15836, 2.49393, -1.34659, 0.979321, -2.97187, -0.572642, 1.88713, -1.8986, 0.617888, -3.14159, -0.617888
19.0429, 0, 2.61146, -1.06615, 1.52979, -2.17435, 0.372762, 2.86428, -1.01817, 1.29708, -2.61104, -0.0206619, 2.80483, -0.533882, 2.35826, -1.13551, 1.57464, -2.05513, 0.55587, -3.14159, -0.55587
19.3359, 0, 2.62133, -1.04093, 1.58198, -2.07208, 0.569338, -3.04649, -0.333774, 2.40378, -1.21195, 1.36619, -2.36579, 0.19231, 2.76269, -0.940663, 1.64544, -2.04735, 0.546163, -3.14159, -0.546163
19.6289, 0, 2.62405, -1.04363, 1.56397, -2.11886, 0.468811, 3.04925, -0.641501, 1.9867, -1.62513, 1.06479, -2.5402, 0.115692, 2.75139, -0.912932, 1.69091, -2.00268, 0.5738, -3.14159, -0.5738
