0, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
8.20311, 1, 0.925642, 0.776201, 0.599761, 0.427638, 0.278299, 0.159919, 0.0734298, 0.0155848, 0.0191365, 0.0362406, 0.0413256, 0.0389405, 0.03263, 0.0249624, 0.0176767, 0.0118688, 0.00817338, 0.00690951, 0.00817338
8.49608, 1, 0.918313, 0.754629, 0.562949, 0.379381, 0.22542, 0.110275, 0.0374342, 0.0305254, 0.0476213, 0.0523142, 0.0476287, 0.0380961, 0.0270972, 0.0167785, 0.00831422, 0.00229877, 0.0017938, 0.00291446, 0.0017938
8.78904, 1, 0.921909, 0.774417, 0.610097, 0.459046, 0.334704, 0.239604, 0.170202, 0.121008, 0.086637, 0.0626731, 0.0458494, 0.0339055, 0.025342, 0.0191881, 0.0148272, 0.0118849, 0.0101642, 0.00959427, 0.0101642
9.08201, 1, 0.922549, 0.769801, 0.589723, 0.415315, 0.26766, 0.155827, 0.0806252, 0.0406623, 0.0314459, 0.0321537, 0.0301132, 0.0250132, 0.0186868, 0.0125983, 0.00757257, 0.00394346, 0.00175519, 0.000987027, 0.00175519
9.37498, 1, 0.931627, 0.796462, 0.634392, 0.473528, 0.33276, 0.220602, 0.13777, 0.0810153, 0.0453605, 0.0255646, 0.0164173, 0.0124797, 0.00995792, 0.00765581, 0.00555394, 0.00383418, 0.00264989, 0.00220077, 0.00264989
9.66795, 1, 0.932276, 0.795393, 0.626585, 0.455374, 0.303671, 0.182547, 0.0946775, 0.0392481, 0.0209055, 0.0274568, 0.0302004, 0.0273476, 0.0215382, 0.0149668, 0.00902765, 0.00446486, 0.00156154, 0.000256852, 0.00156154
9.96092, 1, 0.919494, 0.763171, 0.578415, 0.401409, 0.257193, 0.154519, 0.0898464, 0.0544227, 0.0380632, 0.0320282, 0.0301809, 0.0288944, 0.0266175, 0.0232164, 0.0192895, 0.0156593, 0.0130912, 0.0121587, 0.0130912
10.2539, 1, 0.925211, 0.774343, 0.589901, 0.406207, 0.249493, 0.131881, 0.0541129, 0.0143929, 0.0176129, 0.0212099, 0.0184066, 0.0141084, 0.0116781, 0.0113727, 0.0115717, 0.0114704, 0.0111819, 0.0110361, 0.0111819
10.5469, 1, 0.924955, 0.780849, 0.607545, 0.438087, 0.297227, 0.194766, 0.128925, 0.0916, 0.0714229, 0.0591133, 0.0499045, 0.0419652, 0.0346613, 0.0278939, 0.0218931, 0.0170683, 0.013883, 0.0127575, 0.013883
10.8398, 1, 0.934379, 0.800176, 0.630345, 0.454313, 0.297388, 0.172856, 0.0837942, 0.0274922, 0.00255261, 0.0140725, 0.0143979, 0.00953859, 0.00521961, 0.00747424, 0.0114243, 0.0141852, 0.0156582, 0.0161064, 0.0156582
11.1328, 1, 0.927428, 0.78055, 0.594608, 0.403212, 0.236538, 0.111335, 0.0413278, 0.0459909, 0.0572035, 0.0529719, 0.0391228, 0.0222344, 0.00744898, 0.00732955, 0.0144843, 0.0186646, 0.0205223, 0.0210096, 0.0205223
11.4258, 1, 0.927196, 0.785023, 0.609247, 0.432777, 0.284064, 0.175604, 0.107108, 0.0710969, 0.0549175, 0.0480658, 0.0453943, 0.0439276, 0.0416015, 0.037717, 0.0327944, 0.0279839, 0.0245019, 0.023234, 0.0245019
11.7187, 1, 0.932395, 0.796736, 0.624324, 0.445491, 0.287882, 0.165749, 0.0830437, 0.0394971, 0.0271255, 0.0224765, 0.0143061, 0.00420627, 0.00617111, 0.0133746, 0.0179194, 0.0201843, 0.0210169, 0.0211909, 0.0210169
12.0117, 1, 0.942961, 0.830609, 0.686079, 0.532267, 0.391243, 0.274477, 0.18527, 0.122633, 0.0817448, 0.0561559, 0.0400918, 0.0298469, 0.0237818, 0.0210318, 0.0203962, 0.0206035, 0.0209008, 0.0210173, 0.0209008
12.3047, 1, 0.933724, 0.803159, 0.637675, 0.466215, 0.315829, 0.19934, 0.118475, 0.0695772, 0.044915, 0.0358514, 0.0350166, 0.0369973, 0.0385701, 0.0384814, 0.0368552, 0.0345564, 0.032634, 0.0318938, 0.032634
12.5976, 1, 0.935437, 0.805997, 0.639484, 0.464325, 0.307919, 0.184892, 0.100041, 0.0535437, 0.0369611, 0.0303927, 0.0228959, 0.0158562, 0.0143055, 0.0175617, 0.0208758, 0.0227035, 0.0233399, 0.0234493, 0.0233399
12.8906, 1, 0.924109, 0.778062, 0.600613, 0.428728, 0.293885, 0.206172, 0.157368, 0.133312, 0.122117, 0.116439, 0.111163, 0.103075, 0.091458, 0.0776374, 0.0638405, 0.0522636, 0.0446044, 0.0419273, 0.0446044
13.1836, 1, 0.932447, 0.797633, 0.629591, 0.459252, 0.31343, 0.204386, 0.13164, 0.0889226, 0.067354, 0.059053, 0.0575683, 0.057681, 0.0563884, 0.052951, 0.048091, 0.0431624, 0.0395399, 0.0382127, 0.0395399
